City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Barra,BR,-11.0894,-43.1417,79.41,65,90,0.74,overcast clouds
80,Stornoway,GB,58.2093,-6.3865,46.36,94,90,1.99,overcast clouds
81,Karla,EE,59.3723,24.9275,32.14,90,90,6.91,snow
82,Vestmannaeyjar,IS,63.4427,-20.2734,43.03,76,100,13.51,light rain
83,New Norfolk,AU,-42.7826,147.0587,77.88,38,100,3.0,overcast clouds
84,Aquiraz,BR,-3.9014,-38.3911,85.21,64,99,12.53,overcast clouds
85,San Lorenzo De El Escorial,ES,40.5914,-4.1474,35.87,93,97,4.21,overcast clouds
86,Tiarei,PF,-17.5333,-149.3333,78.82,78,85,12.41,overcast clouds
87,Ginir,ET,7.1333,40.7,63.93,37,82,2.71,broken clouds
88,Sydney Mines,CA,46.2367,-60.2177,53.82,87,100,21.99,overcast clouds
89,Dera Ghazi Khan,PK,30.0561,70.6348,76.89,10,0,2.8,clear sky
90,Rikitea,PF,-23.1203,-134.9692,75.96,77,1,11.27,clear sky
91,Bilma,NE,18.6853,12.9164,70.5,25,1,8.61,clear sky
92,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.26,98,88,1.43,overcast clouds
93,Minsk,BY,53.9,27.5667,17.35,62,37,4.81,scattered clouds
94,Macamic,CA,48.7502,-78.9996,16.03,93,98,8.66,light snow
95,Oistins,BB,13.0667,-59.5333,78.4,77,97,11.5,overcast clouds
96,Yellowknife,CA,62.456,-114.3525,-9.58,80,100,3.0,overcast clouds
97,Henties Bay,NA,-22.116,14.2845,57.85,92,1,3.13,clear sky
98,Pevek,RU,69.7008,170.3133,-18.17,95,17,1.83,few clouds
99,Chunskiy,RU,56.0815,99.6342,26.96,83,100,2.66,overcast clouds
100,Olafsvik,IS,64.8945,-23.7142,40.33,61,72,15.99,broken clouds
101,Aranos,NA,-24.1333,19.1167,59.52,38,0,12.39,clear sky
102,Suba,PH,10.8438,121.0102,84.74,74,18,14.05,few clouds
103,Hermanus,ZA,-34.4187,19.2345,65.89,75,11,9.04,few clouds
104,Gresham,US,45.4982,-122.4315,47.08,89,90,1.01,overcast clouds
105,Bumba,CD,2.1833,22.4667,71.08,88,68,1.41,broken clouds
106,Turayf,SA,31.6725,38.6637,53.94,64,0,3.94,clear sky
107,Balkanabat,TM,39.5108,54.3671,55.76,46,0,2.64,clear sky
108,Port Elizabeth,ZA,-33.918,25.5701,62.89,77,90,12.66,overcast clouds
109,Flin Flon,CA,54.7682,-101.865,20.43,94,100,12.84,snow
110,Grindavik,IS,63.8424,-22.4338,39.67,81,75,11.5,broken clouds
111,Namibe,AO,-15.1961,12.1522,69.04,76,63,5.57,broken clouds
112,Pucara,PE,-15.9803,-71.4606,42.49,57,100,4.07,light rain
113,Tuktoyaktuk,CA,69.4541,-133.0374,-6.54,95,100,8.1,overcast clouds
114,Bethel,US,41.3712,-73.414,36.55,63,1,5.75,light snow
115,Sainte-Maxime,FR,43.3,6.6333,56.95,73,97,5.23,overcast clouds
116,Smithers,CA,54.7804,-127.1743,23.02,95,9,3.38,clear sky
117,Dikson,RU,73.5069,80.5464,-9.22,96,100,17.54,light snow
118,Royan,FR,45.6285,-1.0281,42.1,75,86,21.61,overcast clouds
119,Lavrentiya,RU,65.5833,-171.0,-2.69,93,8,10.18,clear sky
120,Saldanha,ZA,-33.0117,17.9442,62.42,75,3,13.89,clear sky
121,Zyryanka,RU,65.75,150.85,-25.06,98,98,5.1,overcast clouds
122,Kruisfontein,ZA,-34.0033,24.7314,58.89,78,100,9.95,overcast clouds
123,Necochea,AR,-38.5473,-58.7368,53.04,68,1,10.58,clear sky
124,Khonsa,IN,27.0167,95.5667,66.7,60,65,3.71,broken clouds
125,Deputatskiy,RU,69.3,139.9,-23.35,96,95,5.35,overcast clouds
126,Arona,ES,28.0996,-16.681,65.8,81,0,4.61,clear sky
127,Asau,RO,46.4333,26.4,41.95,81,100,2.95,overcast clouds
128,Mar Del Plata,AR,-38.0023,-57.5575,55.87,63,5,5.01,clear sky
129,Hofn,IS,64.2539,-15.2082,42.39,65,84,6.96,broken clouds
130,Dalby,AU,-27.1833,151.2667,75.51,58,84,17.36,light rain
131,Dwarka,IN,22.2394,68.9678,82.99,40,33,7.02,scattered clouds
132,Tyukhtet,RU,56.5389,89.3011,28.17,82,100,11.01,overcast clouds
133,Buraydah,SA,26.326,43.975,60.37,67,3,12.12,clear sky
134,Broken Hill,AU,-31.95,141.4333,76.23,46,100,6.02,moderate rain
135,Tongzi,CN,28.7829,105.0877,52.0,73,100,2.73,overcast clouds
136,Tullahoma,US,35.362,-86.2094,34.0,75,1,6.91,clear sky
